Codigo;Produto;Preco;Quantidade
79893107158;Eating RightTurkey Lasagna11.25 oz;27;67
859097;Trader Joe'sLowfat Granola Cereal With Almond16 oz;48;18
79893107165;Eating RightChicken Teriyaki8.2 oz;76;42
44000000554;Premium Saltine Crackers Unsalted Top1 lb;24;17
80686110026;Skinnygirl White Cranberry Cosmo750 ml;52;66
282857;Trader Joe'sSpicy Jalape«Òo Chicken Sausage12 oz;86;41
42272005888;Amy's Spicy Organic Chili14.7 oz;81;40
99482416317;365 Organic Vegetable Broth14 oz;61;40
994378;Trader Joe'sFire Roasted Bell Peppers And Onions14 oz;61;22
934428;Trader Joe'sBean So Green16 oz;31;40
7,69651E+11;Vini Cabernet Sauvignon 2009750 ml;49;20
934695;Trader Joe'sOrganic Red Quinoa16 oz;46;31
9,78031E+12;Where We Belong;15;62
9,7814E+12;The Zombie Survival Guide;33;81
99482434151;365 Whole Almonds16 oz;12;72
9,78031E+12;The Lean Startup;66;68
37000137474;TideClean Breeze Detergent50 fl oz, 32 loads;65;82
24000163190;Del MonteMixed Vegetables14.5 oz;40;16
44700061473;Oscar MayerSelects Applewood Smoked Ham8 oz;26;90
9,78006E+12;Built To Last: Successful Habits Of Visionary Companies;64;59
44387716000;DeLonghi Triblade Hand Blender;72;78
7,61319E+11;RevlonSpeed Dryer;43;60
3,05215E+11;Q-tips Cotton Swabs375 ct;17;19
37000800712;BounceOutdoor Fresh Dryer Sheets120 ct;92;86
31600102115;Kiwi Black Shoe Polish70 g;66;23
62338057620;Air Wick 4 In 1 Lavender & Chamomile Air Freshener8 oz;99;62
25700395720;Scrubbing BubblesBathroom Cleaner22 oz;41;61
99482441159;365 Toilet Bowl Cleaner24 fl oz;86;100
7,2383E+11;Lagunitas IPA12 fl oz;84;40
81308001425;Big House The Usual Suspect Cabernet Sauvignon750 ml;34;95
31000307448;BanquetBrown 'N Serve Original Sausage Links6.4 oz;66;41
7,38435E+11;OYOWhiskey750 ml;34;92
21130035236;Lucerne Large Grade AA Eggs18 eggs;82;78
9,78159E+12;Linchpin: Are You Indispensable?;50;89
9,78031E+12;The 4-Hour Workweek;49;19
9,78026E+12;The Laws Of Simplicity;72;62
9,78159E+12;The Art Of The Start;85;18
9,78032E+12;The Tipping Point;33;44
7,86162E+11;Vitamin Water Zero Rise Orange20 oz;32;74
9,78037E+12;Hot, Flat, and Crowded;66;58
9,78194E+12;mal«≠riaEnd Malaria;86;30
8,41058E+11;EdgeExtra Moisturizing Shave Gel7 oz;78;57
37000004486;DawnApple Blossom Dishwashing Liquid9 fl oz;29;11
99482405434;365Organic Teriyaki Sauce10 fl oz;36;54
49022554894;Nice Pure Baking Soda16 oz;99;89
11110669711;KrogerVanilla Extract2 fl oz;27;96
99482401115;365 Everyday ValueAged Balsamic Vinegar16.9 fl oz;69;100
76808501063;BarillaAngel Hair1 lb;19;82
80000014849;StarStarKist Solid White Albacore Tuna3-3 oz cans;21;61
19900003202;Clabber GirlBaking Powder8.1 oz;68;36
19336100100;Purity FarmsOrganic Ghee13 oz;74;74
378857;Trader Joe'sRoasted And Unsalted Whole Cashews16 oz;93;66
7,57725E+11;Stephen Vincent Cabernet Sauvignon750 ml;46;35
99482441166;365Fruit & Vegetable Wash17 fl oz;10;75
43000043004;Gevalia Kaffe French Roast Ground Coffee12 oz;81;28
12546304337;TridentSpearmint Gum5 sticks;53;15
11110724687;KrogerGarlic Salt13 oz;68;12
75810021255;San-JTamari Gluten Free Soy Sauce10 fl oz;90;84
13600020019;Diamond CrystalKosher Salt48 oz;49;67
459136;Trader Joe'sCurry Powder1.8 oz;56;10
8,51709E+11;Shiloh's Harissa For Dipping11 fl oz;53;88
89836180742;Simply OrganicItalian Seasoning0.95 oz;40;11
52100002453;McCormickGrill Mates Montreal Steak Seasoning3.4 oz;59;94
52100002323;McCormickGround Cinnamon1 oz;38;38
15800070115;C&HPure Cane Sugar Powdered1 lb;69;44
11110855893;KrogerGranulated Sugar32 oz;35;14
33200011101;Arm & HammerPure Baking Soda1 lb;99;79
258586;Trader Joe'sFresh Ginger4 oz;20;14
8,99075E+11;Fra' ManiClassic Italian Sausage12 oz;48;72
7,64015E+11;Aidells Organic Cajun Style Andouille12 oz;89;20
8,13326E+11;Bamboo Bar Board8 in length x 6 in width;13;61
7,47599E+11;GhirardelliChocolate Squares Dark & Raspberry5.32 oz;76;41
17229135550;Plantronics M20 Bluetooth Headset;96;17
85464101005;PostCard;61;74
43100752141;MeadSecurity Envelopes40 ct;98;76
49022358522;Penway 1 Subject Notebook Wide Ruled60 sheets;48;39
74808027354;Triathlete Magazine;58;78
70330600171;BIC Lighter;55;73
9,78006E+12;Predictably Irrational: The Hidden Forces That Shape Out Decisions;59;84
9,78143E+12;National Geographic Traveler San Francisco;97;72
9,7806E+12;Cloud Application Architectures;62;41
9,78159E+12;The Artist's Way: A Spiritual Path to Higher Creativity;77;90
9,78098E+12;The Startup Owner's Manual;34;16
9,78031E+12;The World Is Flat;60;13
3,8137E+11;Band-Aid Flexible Fabric30 ct;66;24
8,83485E+11;Pert Plus 2 In 1 Shampoo & Conditioner Classic Clean25.4 fl oz;45;75
17000046495;Dial For Men Magnetic Body Wash16 fl oz;94;56
77043104507;St. Ives Naturally Clear Apricot Scrub6 oz;65;97
37000062219;CrestPro-Health Clean Mint Toothpaste6 oz;12;30
35000896506;ColgateTriple Action Soft Toothbrush1 ct;25;36
11509211323;Aqua Velva Classic Ice Blue Cooling After Shave3.5 fl oz;15;39
72140813529;Nivea For Men Moisturizing Face Wash5 fl oz;70;42
41167066232;Gold BondUltimate Softening Skin Therapy Cream Shea Butter5.5 oz;55;32
19045105397;CurelUltra Healing Lotion2.5 fl oz;39;100
49022428553;Walgreen's Instant Hand Sanitizer2 fl oz;86;93
21428951453;Petaluma Farms Jumbo Grade A Eggs12 ct;72;50
915908;Trader Joe'sLow Sodium Minestrone Soup10.75 oz;35;31
17000026701;Dial Spring Water Hand Soap7.5 fl oz;14;78
11110881786;RalphsNice 'n Elegant Spoons24 ct;54;44
6,92992E+11;Spicy World Tellicherry Pepper16 oz;90;54
43000950654;Crystal LightNatural Lemonade3.2 oz;57;10
37000201786;Crest 3D Whitestrips Professional Effects20 treatments;64;15
6,1029E+11;Expressions from Hallmark Card;64;29
13051323820;Green Mini Handlebar Moustache;88;16
84114032409;KettleBrand Krinkle Cut Potato Chips14 Oz;45;28
73950278195;"Waterpik Ultra Water Flosser7 x 9 x 6 inches 1 pounds";28;85
16000275645;Cheerios14 oz;33;85
11194246044;S&WAsparagus Spears15 oz;81;51
11194282172;S&WBaby Carrots14.5 oz;30;73
73854008089;Bicycle Rider Back Playing Cards;78;66
9,78047E+12;The Big Book Of Slow Cooker Casseroles & More;78;75
18200003325;superior light beerMichelob Ultra12 fl oz;24;29
8,85911E+11;BLACK & DECKER 4-Volt Max GYRO Motion Controlled Rechargeable Screwdriver;73;62
9,78185E+12;The Algorithm Design Manual 2e;14;33
7,32913E+11;Seventh Generation Natural Hand Wash Fresh Citrus12 fl oz;60;76
92325333369;Annie'sNatural Goddess Dress8 fl oz;72;23
92325333352;Annie'sShiitake Sesame Vinaigrette8 fl oz;38;89
92325333208;Annie'sTuscany Italian Dressing8 fl oz;59;84
92325333499;Annie'sNatural Woodstock Dressing8 fl oz;68;32
92325333482;Annie'sNatural Artichoke Parmesan Dressing8 fl oz;67;53
92325333017;Annie'sNatural Lite Goddess Dressing8 fl oz;24;90
92325333383;Annie'sNatural Cowgirl Ranch Dressing8 fl oz;12;74
92325333321;Annie'sNatural Balsamic Vinaigrette8 fl oz;55;67
11194335977;S&WCandied Yams16 oz;57;39
11194296452;S&WCream Style Corn14.75 oz;28;48
11194360535;S&WCut Green & Wax Beans14.5 oz;26;88
11194350482;S&WCut Green Beans14.5 oz;81;41
11194359317;S&WCut Wax Beans14.5 oz;50;56
11194350710;S&WDilled Green Beans;33;31
11194272500;S&WJulienne Beets15 oz;67;56
11194290580;S&WJulienne Carrots14.5 oz;44;49
11194345204;S&WLeaf Spinach13.5 oz;52;25
11194361587;S&WMixed Vegetables15 oz;29;74
11194336882;S&WNew Potatoes14.5 oz;15;37
11194278540;S&WParty Sliced Beets15 oz;77;93
11194327552;S&WPeas & Carrots14.5 oz;95;35
11194327859;S&WPeas & Pearl Onions15 oz;83;35
11194317409;S&WPetit Pois Peas15 oz;14;24
11194340414;S&WSauerkraut14.5 oz;52;35
11194265915;S&WSliced Beets15 oz;26;46
11194284565;S&WSliced Carrots14.5 oz;78;19
11194276720;S&WSliced Pickled Beets15 oz;56;56
11194303327;S&WSweet 'N Crisp Corn11 oz;98;58
11194348199;S&WWhole Green Beans14.5 oz;69;79
11194301224;S&WWhole Kernel Corn15.25 oz;57;99
32000000407;AlhambraPurified Water16.9 fl oz;58;11
7,48927E+11;Optimum Nutrition 100% Whey Gold Standard Protein Powder Double Rich Chocolate2 lb;87;18
3,00411E+11;Oral-B Complete Satin Floss Mint50 m;50;29
7,22252E+11;Clif BarCrunchy Peanut Butter2.4 oz;20;98
3,00451E+11;Lactaid Fast Act Lactase Enzyme Supplement60 caplets;75;92
52100071398;McCormickCalifornia Style Garlic Powder With Parsley3 oz;44;74
12546312554;Dentyne Ice Peppermint Sugar Free Gum16 pieces;36;77
79893465005;O Organics 100% Organic Honey16 oz;22;66
42000118262;Kirkland SignaturePaper Towels1 roll, 80 sheets;24;87
32000001404;AlhambraPurified Water24 x 16.9 fl oz;49;95
41165028874;Solo Heavyweight Forks500 ct;90;22
74182260903;Softsoap Crisp Cucumber And Melon Hand Soap7.5 fl oz;78;10
44800001454;Sugar In The Raw24 oz;11;34
16000275836;Count Chocula10.4 oz;99;50
81054000321;Laurier 2009 Pinot Noir750 ml;63;33
99482429089;365 Grapeseed Oil16 fl oz;77;72
8,39728E+11;Arrow Creek 2011 Cabernet Sauvignon750 ml;56;62
7,22253E+11;ClifBuilder's Protein Bar Chocolate2.4 oz;14;52
7,22253E+11;ClifBuilder's Protein Bar Chocolate 12 Pack28.8 oz;85;37
8,08124E+11;Mrs. Meyer's Clean DayLiquid Hand Soap Refill Basil Scent33 fl oz;65;65
81492146544;interDesign Fabric Shower Curtain72 in by 72 in;32;44
7,38678E+11;American CrewFiber3 oz;75;15
7,22253E+11;ClifBuilder's 20g Protein Bar Chocolate Peanut Butter12 Pack;100;81
72783000096;Anchor Christmas Ale12 fl oz;30;74
6,38489E+11;Dogfish Head Punkin Ale12 fl oz;14;45
6,38489E+11;Dogfish Head Punkin Ale4 x 12 fl oz;59;41
34000003129;Hershey'sChocolate Syrup24 oz;28;80
34000560028;TwizzlersStrawberry Twists16 oz;64;64
34000570102;TwizzlersExtra Long Strawberry Twists25 oz;70;60
34000560462;TwizzlersWatermelon Pull 'n' Peel14 oz;32;17
11110609038;KrogerGrade AA Large Eggs12 ct;82;45
73007107096;ColumbusLite Italian Dry Salami5 oz;50;40
73007100271;ColumbusOven Roasted Turkey Breast6 oz;94;72
7,476E+11;GhirardelliSquares Dark Chocolate With Raspberry Filling.53 oz;21;14
37000296751;CharminUltra Soft Bathroom Tissue6 jumbo rolls;84;74
71072030509;AlessiThin Breadsticks85g;94;61
71673001113;StroehmannWhite Bread624g;97;50
9800895250;FerreroNutella Hazelnut Spread29.5 oz;77;81
41190048076;Shop RiteKettle Popcorn298 g;74;78
44000033385;NabiscoChips Ahoy Chocolate Chip Cookies516g;95;33
78742082776;Great ValueChocolate Chunk Chewy Granola Bars240g;79;99
6,44209E+11;Duncan HinesFrench Vanilla Cake Mix468g;64;44
51500281529;PillsburyVanilla Whipped Supreme Frosting340g;23;51
16000274464;Betty CrockerRoasted Garlic Mashed Potatoes187g;42;46
30000050705;Aunt JemimaOriginal Complete Pancake and Waffle Mix907g;27;62
70920475158;Swiss MissMint Hot Cocoa Mix170g;38;47
41000215179;KnorrPasta Sides Smokehouse Bacon Parmesan113g;62;71
71300000755;RonzoniRotini454g;53;25
43000285213;KraftStove Top Chicken Stuffing170g;53;17
41000022463;KnorrPasta Side Chicken121g;67;12
41331026628;GoyaYellow Rice227g;73;53
72486002403;JiffyBlueberry Muffin Mix198g;59;94
75140005154;Crystal GeyserAlpine Spring Water1 gal;82;19
51500000656;Smucker'sGoober Strawberry Jelly and Peanut Butter510g;16;43
16000813397;Betty CrockerUltimate Fudge Brownie Mix511g;81;24
8,84912E+11;PostFruity Pebbles Cereal311g;79;38
85239748206;Market PantryMixed Berry Cereal Bars10.4 oz;15;32
5,01E+12;HovisSeed Sensations800g;81;88
38000734441;Kellogg'sFrosted Mini Wheats18 oz;76;86
8,88109E+11;HostessZingers3.81 oz;79;70
70847008613;MonsterRehab10 x 15.5 fl oz cans;82;18
9800800056;FerreroNutella & Go!1.8 oz;32;71
13120011504;Ore IdaExtra Crispy Easy Fries4.25 oz;49;55
34000502349;HersheyTwizzlers Twists12.4 oz;45;33
51000180551;Campbell'sPrego Italian Sauce Heart Smart Traditional67 oz;68;63
38000576300;Kellogg'sFrosted Mini Wheats Maple Brown Sugar15.5 oz;22;72
43000205518;Jell OChocolate Pudding1.4 oz;50;31
85239024898;Market PantryCreamy Peanut Butter40 oz;61;24
51500016671;SmuckersReduced Sugar Jelly   Concord Grape15.5 oz;52;12
38000405006;Kellogg'sEggo Waffles Chocolate Chip12.3 oz;16;18
15300440494;Pasta RoniParmesan Cheese Flavor5.1 oz;61;77
48001006430;SkippySkippy Creamy16.3 oz;81;41
18341151015;BarefootCabernet Sauvignon1.5 L;44;13
48000254559;Chicken Of The SeaChunk Light Tuna5 oz;43;26
21000028092;KraftMacaroni And Cheese7.25 oz;62;79
16000275331;General MillsGolden Grahams16 oz;27;95
51500009567;Hungry JackOriginal Syrup27.6 fl oz;51;83
38000570773;Kellogg'sKrave11 oz;47;89
54100006769;VlasicJalapeno Pepper Slices12 fl oz;76;86
44000031114;RitzCrackers13.7 oz;94;19
49000047561;Coca ColaCherry Zero12 oz;64;87
6,05388E+11;Great ValueYellow Mustard24 oz;91;82
70074105840;SimilacInfant Formula8 oz;17;67
41498119232;Chef's CupboardOnion Soup Mix2 oz;27;20
41498131562;Stonemill EssentialsIodized Table Salt26 oz;18;10
51000204738;Campbell'sSlow Cooker Sauces Apple Bourbon Bbq12 oz;48;62
73321071783;Super PretzelPretzel Dogs32.4 oz;26;63
48001905207;SkippyExtra Crunchy Super Chunk Peanut Butter64 oz;54;95
6,11269E+11;Red BullEnergy Drink33.6 fl oz;56;47
30100280910;Town HouseToppers Crackers13.5 oz;41;41
16000263161;Betty Crocker'sTuna Helper Creamy Broccoli6.4 oz;39;50
31000196240;Kid CuisineFun Shaped Chicken Breast Nuggets8 oz;79;66
51000026392;Campbell'sSpaghettios7.5 oz;77;10
14800646085;Hawaiian PunchFruit Juicy Red1 gal;58;53
72250017480;Mi CasaCorn Tortillas30 ct;56;13
38000589263;Kellogg'sJake And The Never Land Pirates8 oz;45;17
20000163611;Green GiantGarden Vegetable Medley8 oz;33;92
64144049653;Chef BoyardeeMini Pasta Shells & Meatballs7.5 oz;86;65
72092024240;JoyIce Cream Cups3.5 oz;59;29
76001349561;Candle LiteWillow Lane Candle10 oz;68;75
15000026172;Gerber Nature SelectSquash6 oz;42;55
41498186753;Natures NectarSplash Tropical Blend64 oz;18;15
28400164726;Lay'sFlavored Potato Chips   Barbecue13.25 oz;30;81
6,0788E+11;Southern HomeHot Cocoa20 oz;44;54
12000008412;PepsiDiet Pepsi24 oz;96;28
16000420601;Betty Crocker'sBisquick20 oz;64;40
70847814047;MonsterExtra Strength12 oz;26;36
15000046224;Gerber GraduatesApple And Sweet Potato4.23 oz;11;69
21000040056;KraftFresh Take Cheese & Breadcrumb Mix Classic Four Cheese Recipe6 oz;40;98
16000439894;Nature ValleyTrail Mix Chewy Granola Bar   Fruit & Nut1.2 oz - 1 bar;28;92
76515001191;Sara LeeChocolate Creme Cupcakes12.7 oz;93;91
36632018359;DannonOikos5.3 oz;82;46
7,42159E+11;No NamePecan Crusted Chicken Breasts12 oz;50;99
44000004637;Honey MaidGrahams14.4 oz;79;43
41143124604;Sun MaidRaisins12 oz;85;54
41736001602;Fillipp BerioOlive Oil25.3 oz;83;85
28400071222;SmartfoodWhite Cheddar Cheese Popcorn5 oz;95;63
44000001759;NabiscoNilla Wafers30 oz;95;72
25000048012;Minute MaidPremium Orange Juice Kids+59 fl oz;82;44
44700008577;Oscar MayerBologna16 oz;82;55
79041751288;Great American Steak CompanyBacon Wrapped Filet Of Beef5 oz;36;46
15100000416;CreametteRigatoni16 oz;73;99
78742369556;Great VaulueTomato Paste6 oz;48;18
70734000034;Celestial SeasoningsSleepytime Herbal Tea20 ct - 1 oz;85;81
16000275171;General MillsCookie Crisp11.25 oz;46;46
39400018803;Bush's BestBlack Beans15 oz;55;84
6,0788E+11;Southern HomeHoney Roasted Peanuts16 oz;39;65
41258751153;Wyler'sChicken Flavored Bouillon Cubes3.25 oz;77;19
45300005492;Peter PanPeanut Butter16.3 oz;70;53
24000162896;Del MonteFresh Cut French Style Green Beans14.5 oz;16;70
13409451328;Sweet Baby Ray'sBarbecue Sauce40 oz;84;94
78742080079;Great ValueTomato Ketchup40 oz;63;79
51500241776;JifCreamy Peanut Butter28 oz;52;62
41000022623;KnorrRice Sides Cream Chicken5.7 oz;42;13
77900192463;Jimmy DeanOriginal Pork Sausage Patties9.6 oz;24;29
30000312575;QuakerChewy Moonlight Minis13.8 oz;75;64
41800501274;Welch'sStrawberry Spread27 oz;19;89
28029127720;Trident SeafoodsPanko Breaded Tilapia12 oz;89;14
41483036773;Kemp'sMini Ice Cream Sandwiches36 fl oz;74;31
70753050317;ColumbiaSpaghetti32 oz;62;42
41000210846;LiptonMandarin Orange Green Tea1.2 oz;31;69
85239400548;Market PantryParmesan 100% Grated Cheese8 oz;55;14
85239024249;Market PantryCreamy Peanut Butter18 oz;95;89
41390020704;KikkomanStir Fry Sauce12.1 oz;45;62
44000029678;NabiscoRitz Peanut Butter Crackerfuls6 oz;41;37
25500201887;FolgersClassic Roast Instant Coffee0.49 oz;86;80
44000029685;NabiscoRitz Peanut Butter & Chocolate Crackerfuls6 oz;21;45
70594301807;S&WSpecial Roast Coffee34.5 oz;79;99
28400067409;TostitosSalsa Con Queso Medium23 oz;44;42
7,63191E+11;Good HousekeepingGood Food Multigrain Baking Mix20 oz;72;47
79783409270;AustinCheese Crackers With Cheddar Cheese7.4 oz;18;10
11110599636;KrogerNeufchatel Cheese8 oz;40;77
41000197659;LiptonGreen Tea Superfruit Acai, Dragonfruit And Melon0.8 oz;20;20
21000037278;Kraft2% Milkfat Lowfat Cottage Cheese16 oz;96;17
28000668501;NescafeTaster's Choice House Blend Instant Coffee0.49 oz;33;43
37014000207;Endangered SpeciesDark Chocolate With Sea Salt & Almonds3 oz;56;77
44000030377;NabiscoOriginal Wheat Thins9.1 oz;41;66
78000053463;A&W Root BeerDiet A&W Root Beer2 L;34;35
50000886104;NestlePeppermint Mocha Coffee Mate Coffee Creamer32 fl oz;33;100
37600493130;Chi Chi'sMild Fiesta Salsa15.5 oz;39;99
41000197666;LiptonGreen Tea Superfruit Passionfruit And Coconut1.2 oz;57;54
7,54369E+11;Four Sisters CoffeeHazelnut Coffee26 oz;23;73
75450056716;Hy VeeInstant Coffee4 oz;27;65
40000422549;SnickersUnwrapped Bites8 oz;42;88
25293002289;SilkPure Coconut Coconut Milk1.89 L;17;54
52000506402;Propel ZeroPropel Zero Kiwi Strawberry16.9 oz;11;77
13000001335;HeinzTomato Ketchup36 oz;12;30
85239305119;Market PantrySoy Sauce15 fl oz;20;34
6,32675E+11;NutrisystemEveryday Fudge Graham Bar5.3 oz;51;59
4,79101E+12;BarringtonEarl Grey Tea1.4 oz;68;82
51500241547;JifChocolate Hazelnut Spread14.1 oz;26;38
41196891027;ProgressoItalian Style Bread Crumbs15 oz;37;41
78000148466;Canada DryCanada Dry Diet Ginger Ale2 L;52;43
41271025910;International DelightHazelnut Coffee Creamer Singles10.5 fl oz;48;61
30100591115;KeeblerPeanut Butter & Fudge Filled Pretzel Bites6 oz;85;96
78000000757;7 UpDiet 7 Up2 L;97;53
44000032401;NabiscoZesty Salsa Wheat Thins2.5 oz;89;37
75270411641;Mountain HighLowfat Honey Yogurt32 oz;53;87
7,54807E+11;America's ChoiceStrawberry Fruit & Grain Cereal Bars10.4 oz;29;89
38000357008;Kellogg'sBlueberry Nutri Grain Cereal Bars10.4 oz;13;95
44000031541;NabiscoBrown Rice Triscuit9 oz;50;25
8,84912E+11;PostGood Morenings Cereal22 oz;75;100
44000030438;NabiscoSundried Tomato & Basil Wheat Thins9 oz;10;99
41000177590;LiptonMelon Citrus Mint Herbal Tea0.9 oz;81;51
41390000058;KikkomanTeriyaki Marinade & Sauce10 fl oz;42;72
72600009288;Herr's Potato ChipsHerr's Barbeque Potato Chips10 oz;47;83
40000422518;Milky WayUnwrapped Bites7 oz;69;27
70920474335;Swiss MissHot Cocoa Mix With Marshmallows4.38 oz;31;48
37014242287;Endangered SpeciesDark Chocolate With Raspberries3 oz;61;30
18000002122;PillsburyGrands Flaky Layers16.3 oz;10;18
24000335139;Brer RabbitMolasses Full Flavor12 fl oz;99;65
13600019013;Diamond CrystalPopcorn & Nut Salt24 oz;45;38
25325120752;Arnold's MeatsSmoked Sausage Beef16 oz;11;70
41756080106;SacoPremium Cocoa10 oz;22;52
18000005093;PillsburyReduced Fat Cinnamon Rolls12.4 oz;29;94
52100693132;McCormickGrill Mates   25% Less Sodium   Montreal Steak Seasoning3.18 oz;52;97
7,87359E+11;Fresh GourmetCountry Ranch Premium Croutons5 oz;62;92
83900005368;Gold Peak TeaSweet Tea59 fl oz;84;44
8,5159E+11;At The Table TogetherEasy Make Focaccia Mix   Original5.4 oz;96;32
6,13522E+11;Tres EstrellasFlour Mix  Delicious Churros17.6 oz;14;13
70600000557;Tuscan Dairy FarmsWhole Milk1 qt;64;66
3,8137E+11;Johnson's Body Care24 Hour Body Lotion2 fl oz;63;66
78006000102;Pride Of SzegedHungarian   Exquisite 100% Sweet Delicacy   Paprika5 oz;49;30
44000005979;Honey MaidTeddy Grahams10 oz;68;74
30100100553;KeeblerTown House Crackers13.8 oz;67;59
7,61721E+11;ArgoBaking Powder   Double Acting   Aluminum Free!12 oz;69;38
47400097728;GilletteClear Gel4 oz;23;69
78006008023;Spice GrocersLemon Pepper Seasoning5 oz;37;67
96619329113;Kirkland SignaturePure Vanilla Extract16 oz;22;88
16000443075;Ocean SprayFruit Flavored Snacks8 oz;54;90
7,94063E+11;Deb ElJust Whites8 oz;52;100
41234710914;McCormickCajun Seafood Fry Mix10 oz;77;39
71567956581;Jelly Belly40 Flavors9 oz;97;30
78006004001;Pride Of SzegedGround Cinnamon4 oz;25;57
43000276785;Baker's Angel Flake BrandSweetened Coconut14 oz;10;96
24600010030;MortonIodized Salt26 oz;71;87
16000458307;Betty CrockerRich & Creamy Vanilla Frosting16 oz;42;61
16000409941;Betty CrockerSuper Moist Cake Mix15.25 oz;40;16
79400198341;AxeAnarchy For Him1 oz;72;17
72979004181;Seagram'sGinger Ale67.6 fl oz;10;83
41390061363;KikkomanPearl Original Organic Soymilk32 fl oz;24;57
16000431645;Mott'sOriginal Assorted Fruit0.8 oz;51;72
43000010570;KraftShake 'n Bake   Parmesan Crusted5.75 oz;84;79
11822641630;Rite Aid PantryCashew Halves & Pieces8 oz;68;38
19356551111;Pomona'sUniversal Pectin1 oz;15;33
79400558404;AxeTouch4 oz;85;45
41234809113;McCormickSeafood Fry Mix10 oz;47;53
79400555502;222;38;90
52100090559;McCormickGrill Mates   Salt Free   Chicken Seasoning2.4 oz;13;86
8,50791E+11;Bell PlantationPb2 Powdered Peanut Butter6.5 oz;45;61
72180634733;Red BaronClassic Crust Pepperoni Pizza20.6 oz;72;69
51000121141;SwansonChicken Broth32 oz;27;81
78000152401;Canada DryGinger Ale20 fl oz;20;76
33383666044;Grimmway FarmsCut & Peeled Baby Carrots32 oz;62;22
16000435575;Betty CrockerHamburger Helper Cheeseburger Macaroni3 oz;39;72
6,09033E+11;Yankee CandleSparkling Cinnamon7 oz;87;73
